# VolumeName  Mass_kg  MaterialName
World_physical 2.69953e-18 G4_Galactic
OuterShielding_Lead_Bot_physical 4580.49 LeadOuter_Bottom
OuterShielding_Lead_Mid_physical 11877.3 LeadOuter_Mid
OuterShielding_Poly_Bot_physical 434.745 PolOuter_Bottom
OuterShielding_Poly_Mid_physical 696.122 PolOuter_Mid
OuterShielding_Lead_Top_physical 4202.25 LeadOuter_Top
OuterShielding_ExtraPoly_physical 605.899 PolOuter_Extra
Plate10mK_physical 3.00009 CopperPlate
Plate100mK_physical 2.40007 CopperPlate
Plate1K_physical 7.85038 CopperPlate
Plate4K_physical 5.68697 CopperPlate
Plate50K_physical 9.00757 CopperPlate
Screen1KCylWall_physical 18.2568 CopperScreen1KWall
Screen1KBottom_physical 1.41432 CopperScreen1KBottom
Screen1KFlangeBot_physical 1.86913 CopperScreen1KFlangeBottom
Screen1KFlangeMid_physical 1.86913 CopperScreen1KFlangeMid
Screen1KFlangeTop_physical 0.934564 CopperScreen1KFlangeTop
Screen4KCylWall_physical 24.5239 CopperScreen4KWall
Screen4KBottom_physical 1.70446 CopperScreen4KBottom
Screen4KFlangeBot_physical 2.2944 CopperScreen4KFlangeBottom
Screen4KFlangeMid_physical 2.2944 CopperScreen4KFlangeMid
Screen4KFlangeTop_physical 1.1472 CopperScreen4KFlangeTop
Screen50KCylWall_physical 31.7213 CopperScreen50KWall
Screen50KBottom_physical 2.04304 CopperScreen50KBottom
Screen50KFlangeBot_physical 2.50619 CopperScreen50KFlangeBottom
Screen50KFlangeMid_physical 2.50619 CopperScreen50KFlangeMid
Screen50KFlangeTop_physical 1.25309 CopperScreen50KFlangeTop
StainlessSteelOVCWallCylWall_physical 35.8642 StainlessSteelOVCWall
StainlessSteelOVCWallBottom_physical 2.23787 StainlessSteelOVCBottom
StainlessSteelOVCWallFlangeBot_physical 8.81559 StainlessSteelOVCFlange
StainlessSteelOVCWallFlangeMid_physical 8.81559 StainlessSteelOVCFlange
StainlessSteelOVCWallFlangeTop_physical 4.40779 StainlessSteelOVCFlange
